time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
1.33,1.5959999999999999,0.04668124378934148,-0.035768300572256315,-0.08142431306779968,-0.1505779289959685,0.12814399354607298,0.38216641244394206,-0.4262282675500693,-0.006696063515969024
1.3399999999999999,1.6079999999999999,0.04554549765292713,-0.03926969160917092,-0.08933699716296868,-0.14930300900364452,0.13176312468567186,0.37786772492582976,-0.3482091027194301,-0.009723828629740762
1.35,1.6199999999999999,0.04426497623346005,-0.042183737476190586,-0.09751699970233535,-0.14923595559175917,0.13577136652172692,0.371956358465221,-0.27318358336827103,-0.010215100639067455
1.3599999999999999,1.632,0.04287291642074861,-0.0443700060317935,-0.10597217934356816,-0.15067206336706504,0.13997409744047107,0.3650368096855986,-0.2041843394052681,-0.008438454530739142
1.37,1.644,0.04140712675896665,-0.04570856402149572,-0.11471241950622858,-0.15384568518871863,0.144126110132589,0.35766403977968925,-0.14406135759874322,-0.002045674150070107
1.38,1.656,0.039912690619459984,-0.04617302749223199,-0.12361114987820908,-0.15899287471706525,0.1479314683150524,0.35044773805793156,-0.09493410364603122,0.0067676672497522196
1.39,1.668,0.03843149575857898,-0.0458227066960134,-0.1324229714650575,-0.16636114505686947,0.15111847859648084,0.3440222885944165,-0.05850759798096213,0.016639398163043082
1.4,1.68,0.03700273871508474,-0.044785823618651056,-0.1407978053630253,-0.17622271573087694,0.1534316681371021,0.3389798115771646,-0.03565975022791324,0.022362949240169298
1.41,1.692,0.035653032037120044,-0.04321908686628518,-0.1483823946287937,-0.18879874735493118,0.1546497774528076,0.3358434512875476,-0.026919450383670267,0.021583741217389672
1.42,1.704,0.034397887387826905,-0.04128424585620134,-0.1548434653429466,-0.20427290196087564,0.15456843804477494,0.3349087550938032,-0.03198579592514837,0.012433092089105422
1.43,1.716,0.03324185703278422,-0.03911171643708234,-0.15991540308107077,-0.22279406716649225,0.15299098590654733,0.3360761387667215,-0.04956605048129689,-0.005515840619194164
1.44,1.7279999999999998,0.03218997274597584,-0.03641369534681114,-0.16425877913031098,-0.24381459314485907,0.14939421702005307,0.33698860264367875,-0.07458031298769563,-0.028623886241103652
1.45,1.7399999999999998,0.03125747715564375,-0.03283589132323667,-0.16859668267826441,-0.2668203406681224,0.14316612012909463,0.33427896178550276,-0.09867518117330985,-0.05046661186579485
1.46,1.7519999999999998,0.030469628128879402,-0.028619384844838697,-0.172221604023577,-0.2924080707277839,0.13399861575993469,0.3282221675948229,-0.11948994735903305,-0.0686887468874099
1.47,1.7639999999999998,0.029849687765892044,-0.02417669462323469,-0.17391648659214895,-0.32162447989037607,0.12160112005703089,0.3210582997731377,-0.1397739979508128,-0.08130222136427581
1.48,1.7759999999999998,0.029427768236791257,-0.019644255251580697,-0.17300812273636434,-0.3550956881952841,0.10521203926416507,0.31359472732112936,-0.16104152846846556,-0.08462115661040145
1.49,1.7879999999999998,0.029221563067512706,-0.015338533142870557,-0.16848739927675344,-0.39355092213216547,0.08388541836962084,0.3064646863019196,-0.18352994095066474,-0.0791499559095748
1.5,1.7999999999999998,0.029200621090453842,-0.01230632818421454,-0.15798112202148934,-0.4383394123099622,0.056757099152736856,0.30366821712681347,-0.21231507374769146,-0.061362416173511625
1.51,1.8119999999999998,0.02938712602442242,-0.010084230668236608,-0.1423793431481095,-0.4881839853866436,0.021561421190424652,0.30238869702776794,-0.24262760961333873,-0.03692111373137521
1.52,1.8239999999999998,0.029792654500066233,-0.007962318258893656,-0.12335368158122849,-0.5407986002639918,-0.024239803777015647,0.2986596120570167,-0.267799641758664,-0.014991255035683854
1.53,1.8359999999999999,0.030385933052144043,-0.005867929694664235,-0.10179189523920416,-0.5935899274589745,-0.08313277178072692,0.29192320212006023,-0.2868336861616163,0.003324116865083233
1.54,1.8479999999999999,0.031126838733445166,-0.003959045303817371,-0.07871546903758395,-0.6430673471398674,-0.15746029973112918,0.2828504447397009,-0.30064528112132477,0.01889070093659336
1.5499999999999998,1.8599999999999999,0.031947844308579325,-0.0024380349813931364,-0.05472758203511392,-0.6876474700480587,-0.24477992380268807,0.27248336416084007,-0.31066562239706025,0.032333848285131646
1.56,1.8719999999999999,0.032649760555574545,-0.001258605442441725,-0.029087667664721754,-0.7357612968127203,-0.30592115799891856,0.26175206306402954,-0.3188718099805746,0.04588433886029753
